customer_id,customer_name,email,registration_date,customer_type
1,Allison Hill,donaldgarcia@example.net,2023-02-08,PREMIUM
2,Angie Henderson,davisjesse@example.net,2023-08-05,PREMIUM
3,Cristian Santos,lrobinson@example.com,2025-04-27,REGULAR
4,Abigail Shaffer,jpeterson@example.org,2023-02-16,REGULAR
5,Gabrielle Davis,howardmaurice@example.com,2025-07-24,REGULAR
6,Monica Herrera,smiller@example.net,2025-10-06,PREMIUM
7,Shannon Ray,williamsjeremy@example.com,2024-11-28,REGULAR
8,Dr. Sharon James,xreid@example.org,2023-01-11,PREMIUM
9,Daniel Adams,lynchgeorge@example.net,2024-10-18,REGULAR
10,Joel Nelson,gabriellecameron@example.org,2024-06-06,REGULAR
11,Andrew Stewart,carl95@example.org,2024-07-11,PREMIUM
12,Jennifer Rocha,ithomas@example.org,2023-03-09,PREMIUM
13,Kimberly Burgess,zhurst@example.com,2024-08-11,REGULAR
14,Zachary Hicks,camposmichelle@example.org,2025-09-03,REGULAR
15,Rebecca Henderson,cruzcaitlin@example.com,2025-06-15,REGULAR
16,Tricia Valencia,frazierdanny@example.net,2025-10-24,REGULAR
17,Patricia Peterson,ryan70@example.net,2023-05-04,PREMIUM
18,Deborah Mason,williamrodriguez@example.net,2024-08-13,REGULAR
19,Mark Lynch,nathanielmartin@example.net,2024-07-20,REGULAR
20,Linda Burns,hickmannatasha@example.com,2025-11-07,REGULAR
21,David Bradley,millertodd@example.org,2025-10-03,REGULAR
22,Kim Martinez,karroyo@example.com,2025-04-09,PREMIUM
23,Lisa Brandt,jenniferross@example.net,2024-08-12,REGULAR
24,Jessica Holmes,wrightcaleb@example.org,2025-05-15,REGULAR
25,Crystal Robinson,zimmermanbrian@example.org,2023-03-28,REGULAR
26,Shannon Jones,joshuawashington@example.net,2024-05-05,REGULAR
27,Timothy Duncan,esanchez@example.com,2025-05-31,PREMIUM
28,Brent Jordan,ujenkins@example.org,2025-10-15,REGULAR
29,Victoria Garcia,zchandler@example.org,2025-09-25,REGULAR
30,Connor West,dwhite@example.org,2024-01-19,PREMIUM
31,Angela Morton,williamsyvette@example.org,2025-06-27,REGULAR
32,Tammy Allison,richardolson@example.com,2024-07-16,REGULAR
33,Carmen Smith,ybaker@example.com,2025-03-02,REGULAR
34,Michael Cross,smoore@example.org,2023-06-20,REGULAR
35,Lauren Daniels,brian97@example.net,2025-11-23,REGULAR
36,Kim Brown,yorkcasey@example.org,2024-08-15,REGULAR
37,Cynthia Wilson,bethwilliams@example.org,2024-01-26,VIP
38,Kevin Mills,james53@example.com,2023-01-18,PREMIUM
39,Michael Evans,sarah10@example.com,2025-04-14,PREMIUM
40,Kristine Garcia,williamanderson@example.com,2024-06-12,REGULAR
41,Sherry Wood,samueldaniels@example.com,2024-12-05,REGULAR
42,Victoria Valdez,contrerasangela@example.net,2024-02-14,VIP
43,Shawn Baker,newtoneric@example.com,2025-02-27,VIP
44,Michelle Harris,william40@example.org,2024-04-08,PREMIUM
45,Sandra Williams,kellie42@example.net,2023-11-05,REGULAR
46,Michael Hoffman,jonesnicole@example.org,2025-04-17,VIP
47,Sandra Aguilar,russellwilliams@example.com,2023-01-01,REGULAR
48,Rebecca Valencia,jason31@example.com,2023-06-23,VIP
49,Stacey Russell,sarayoung@example.org,2024-04-22,REGULAR
50,Rita Keith,whitesandra@example.com,2025-05-31,VIP
51,Sharon Cochran,erik16@example.org,2025-01-24,PREMIUM
52,Courtney Velasquez,ybailey@example.org,2025-04-07,PREMIUM
53,Matthew Ross,michelle45@example.net,2025-01-08,VIP
54,Meghan Anthony,sheila14@example.org,2025-03-30,PREMIUM
55,Victoria Johnson,yreed@example.com,2023-11-26,VIP
56,William Wilson,jonathanfletcher@example.org,2023-11-09,PREMIUM
57,Renee Mcdaniel,michaeljones@example.net,2025-11-09,REGULAR
58,Lisa Alvarado,cortezkevin@example.com,2025-03-15,REGULAR
59,Erika Terry,jamesortega@example.com,2023-04-10,REGULAR
60,Stephanie Gilbert,richard04@example.com,2023-12-24,REGULAR
61,Richard Lawson,steven73example.net,2023-12-22,REGULAR
62,Steven Flynn,donnacampbell@example.net,2024-05-28,REGULAR
63,Frances Cardenas,emilywalker@example.org,2025-11-05,REGULAR
64,Angel Riggs,gibsonolivia@example.net,2025-06-06,REGULAR
65,Michael Snyder,dylanwatts@example.org,2025-01-04,PREMIUM
66,Colleen Brock,pwilliams@example.org,2023-05-31,PREMIUM
67,Robert Contreras,stephanie79@example.net,2024-09-30,REGULAR
68,Jessica Meadows,vmerritt@example.com,2025-11-12,PREMIUM
69,Paul Larsen,katie87@example.net,2023-04-05,REGULAR
70,Jeremiah Reeves,josephflores@example.net,2023-06-19,REGULAR
71,Chris Reyes,jasminebrown@example.com,2024-11-27,REGULAR
72,John Brown,xprice@example.net,2024-12-19,REGULAR
73,Alicia Gilmore,wwoods@example.com,2024-11-19,PREMIUM
74,Sarah Ashley,vmedina@example.net,2023-06-02,REGULAR
75,Stephanie Freeman,ryan06@example.com,2023-01-23,VIP
76,Rebecca Ramsey,ncalhoun@example.net,2024-01-03,REGULAR
77,James Elliott,millerroy@example.com,2023-11-29,PREMIUM
78,David Murphy,wmurphy@example.com,2023-09-13,REGULAR
79,Trevor Fisher,ruizkaitlyn@example.org,2024-02-16,VIP
80,Mrs. Marie Harrington DDS,herringjames@example.org,2024-03-19,REGULAR
81,Cynthia Wells,elliottjeffery@example.net,2025-05-13,PREMIUM
82,Jacob Obrien,stricklandfrank@example.com,2023-10-22,REGULAR
83,Alexander Collins,tsanders@example.org,2025-06-18,PREMIUM
84,Michael Burton,terrykevin@example.net,2024-05-02,REGULAR
85,Barbara Riggs,reedross@example.com,2025-02-20,VIP
86,Matthew Smith,gshort@example.com,2023-03-30,VIP
87,Madison Poole,ryangross@example.net,2023-10-16,REGULAR
88,Robert Medina,umarshall@example.net,2024-01-01,REGULAR
89,Samuel Rivas,ramirezshannon@example.com,2025-06-03,REGULAR
90,Mary Rogers,lrosales@example.com,2025-08-20,REGULAR
91,Robert Peterson,angela83@example.org,2025-05-28,REGULAR
92,Jason Peters,hannahbrewer@example.com,2023-11-14,PREMIUM
93,Alan Phillips,tholt@example.net,2024-02-17,REGULAR
94,Kara Schmidt,jbarajas@example.com,2024-04-11,REGULAR
95,Jesse Parker,davidlee@example.org,2023-04-23,REGULAR
96,Tiffany Vaughn,javierwashington@example.net,2025-05-24,VIP
97,Paige Carlson,wallkenneth@example.com,2023-11-28,REGULAR
98,Adrian Ferguson,brandon08@example.com,2024-06-26,PREMIUM
99,Beth Oneill,agarcia@example.net,2024-07-28,REGULAR
100,John Peterson,kingmichelle@example.org,2025-04-23,PREMIUM
101,Jennifer Jones,hernandezlisa@example.com,2025-10-12,REGULAR
102,David Grant,yobrien@example.net,2025-05-11,REGULAR
103,Joseph Hayes,levans@example.com,2023-07-28,REGULAR
104,Marc Lynch,mezajared@example.org,2025-05-09,REGULAR
105,Brad Allen,moorericky@example.net,2023-11-24,PREMIUM
106,Doris Hall,jacqueline71@example.net,2025-09-12,PREMIUM
107,Dennis Moody,ronaldstephens@example.net,2024-01-26,VIP
108,Derek Thomas,martinkyle@example.net,2023-05-24,REGULAR
109,Tammy Gonzales,sbarker@example.com,2023-03-10,REGULAR
110,Kathryn Snyder,georgepamela@example.net,2025-09-16,VIP
111,David Davis,keyemily@example.com,2024-11-17,REGULAR
112,Pamela Thompson,lmoon@example.net,2023-01-16,REGULAR
113,Robert Costa,vbailey@example.com,2023-08-20,REGULAR
114,Shannon Rivera,zroberts@example.net,2025-06-23,REGULAR
115,Brandon King,cordovarichard@example.net,2023-03-06,REGULAR
116,April Booth,mgutierrez@example.net,2023-03-03,PREMIUM
117,Peter Garrett,harrisandrea@example.com,2024-01-23,PREMIUM
118,Michael Martinez,jennifercollins@example.org,2025-05-19,PREMIUM
119,Anna Gay,murraydavid@example.org,2025-08-22,PREMIUM
120,Dr. Jordan Hill PhD,jsanchez@example.org,2024-01-03,PREMIUM
121,Thomas Romero,michellehill@example.com,2023-10-03,PREMIUM
122,Richard Adams,campbellkenneth@example.net,2024-05-31,PREMIUM
123,Mary Grimes,wryan@example.com,2025-11-06,PREMIUM
124,Kimberly Gibson,molly39@example.com,2024-02-19,REGULAR
125,Reginald Williams,zthornton@example.com,2024-08-17,PREMIUM
126,Matthew Hoover,tylerjohnson@example.net,2023-12-12,REGULAR
127,Evelyn Garcia,dgarcia@example.org,2024-06-27,REGULAR
128,Jennifer Pena,charlesharrington@example.com,2023-12-20,REGULAR
129,Michael Santos,melissa86@example.com,2024-09-10,REGULAR
130,Stacy Freeman,williamsonjimmy@example.net,2024-03-09,REGULAR
131,Yolanda Francis,wgood@example.net,2025-11-21,VIP
132,Ashlee Jackson,rebecca05@example.org,2023-02-12,REGULAR
133,James Thomas,yknight@example.org,2023-10-05,REGULAR
134,Bob Pitts,tyleraguilar@example.org,2023-03-01,REGULAR
135,David Scott,nolansteven@example.com,2024-05-02,REGULAR
136,Brooke Alexander,vanessa46@example.net,2023-06-29,REGULAR
137,Ryan Gonzalez,gcastaneda@example.org,2024-01-31,REGULAR
138,Ian Phillips,andrew64@example.org,2025-03-18,VIP
139,Melissa Garner,lozanojulie@example.com,2025-11-07,REGULAR
140,Crystal Pham,danaoliver@example.net,2025-10-28,VIP
141,Patricia Becker,courtneyberger@example.net,2025-10-27,PREMIUM
142,Richard Johnson,jessica14@example.com,2024-04-11,REGULAR
143,Casey Anderson,alyssa42@example.com,2024-05-21,REGULAR
144,Terry Coffey,julie51@example.com,2023-07-17,REGULAR
145,Brenda Levy,zcoffey@example.net,2024-08-11,PREMIUM
146,Richard Smith,gibsonemily@example.net,2025-08-14,REGULAR
147,James Little,daniel37@example.org,2023-01-01,REGULAR
148,Terri Murphy,deborahreid@example.com,2025-06-19,REGULAR
149,Elizabeth Ortiz,brandonjohnson@example.com,2024-11-17,REGULAR
150,David Medina,qchavez@example.net,2025-01-05,PREMIUM
151,Kimberly Matthews,nicolepena@example.com,2023-09-21,PREMIUM
152,Teresa Ramirez,jeff73@example.com,2025-10-28,REGULAR
153,Michael Stephens,bruce43@example.org,2023-12-31,PREMIUM
154,Samantha Davis,darleneharper@example.org,2023-11-06,REGULAR
155,Gavin Zhang,caseyhubbard@example.org,2025-01-08,REGULAR
156,Robin Hall,kristinacarlson@example.com,2024-12-08,REGULAR
157,Brianna Anderson,lauren10@example.org,2023-10-30,PREMIUM
158,Richard Young,alfred40@example.org,2024-09-12,REGULAR
159,Kelly Reese,xwest@example.net,2023-01-09,PREMIUM
160,Jodi Walker,acostaregina@example.net,2023-06-15,PREMIUM
161,Judith Maynard,lutzmelanie@example.com,2025-03-15,REGULAR
162,Katherine Browning,lammarc@example.org,2023-07-08,REGULAR
163,Donald Schultz,oscar98@example.com,2025-11-03,REGULAR
164,Larry Garcia,farrelldebra@example.net,2024-05-07,VIP
165,Cindy Hayes,robertwilcox@example.com,2025-08-09,PREMIUM
166,Brandon Simmons,nicholas27@example.org,2024-10-24,PREMIUM
167,Bradley Reynolds,lisa80@example.net,2023-09-05,PREMIUM
168,Kristina Santiago,qgomez@example.com,2024-02-07,PREMIUM
169,Michelle Schmitt,michael98@example.org,2024-03-06,PREMIUM
170,John Boone,megan51@example.com,2025-08-31,REGULAR
171,Renee Bruce,lynchdiane@example.net,2024-03-19,REGULAR
172,Christopher Park,sandra50@example.org,2025-04-19,REGULAR
173,Kylie Morales,joycebonilla@example.org,2024-08-18,PREMIUM
174,Cindy Barnes,eric45@example.net,2023-04-10,REGULAR
175,Sophia Moore,craigjoseph@example.net,2024-12-24,REGULAR
176,Lawrence Perry,kariwilson@example.com,2024-10-14,REGULAR
